model,web
Latitude 7290,1.10.0
Latitude 7480,1.14.1
Latitude 7490,1.10.0
Latitude E5420,A14 
Latitude E5430,A21 
Latitude E5440,A23 
Latitude E5470,1.20.4.txt
Latitude E6430,A23 
Latitude E6440,A23 
Latitude E7240,A27 
Latitude E7470,1.21.6 
OptiPlex 3010,A22 
OptiPlex 3020,A20 
OptiPlex 3050,1.12.1 
OptiPlex 390,A14 
OptiPlex 7010,A29 
OptiPlex 790,A22 
OptiPlex 9010,A25 
OptiPlex 9020,A24 
OptiPlex 9020 AIO,A19 
OptiPlex 9030 AIO,A21 
Precision 3510,1.20.4.txt
Precision M4500,A16 
Precision M4600,A19 
Precision M4700,A19 
Precision M4800,A25 
Vostro 260s,A10 
Vostro 270s,A13
Dell System Vostro 3450,A13 
Vostro 3550,A12 
